name,source,level,school,casttime,actiontype,range,components,duration,description,spelllists
blade-of-disaster,Tasha's Cauldron of Everything,9,conjuration,1,action,60 feet,"V, S","Concentration, up to 1 minute","['You create a blade-shaped planar rift about 3 feet long in an unoccupied space you can see within range. The blade lasts for the duration. When you cast this spell, you can make up to two melee spell attacks with the blade, each one against a creature, loose object, or structure within 5 feet of the blade. On a hit, the target takes 4d12 force damage. This attack scores a critical hit if the number on the d20 is 18 or higher. On a critical hit, the blade deals an extra 8d12 force damage (for a total of 12d12 force damage).']","As a bonus action on your turn, you can move the blade up to 30 feet to an unoccupied space you can see and then make up to two melee spell attacks with it again."
charm-person,Player's Handbook,1,enchantment,1,action,30 feet,"V, S",1 hour,"['You attempt to charm a humanoid you can see within range. It must make a Wisdom saving throw, and does so with advantage if you or your companions are fighting it. If it fails the saving throw, it is charmed by you until the spell ends or until you or your companions do anything harmful to it. The charmed creature regards you as a friendly acquaintance. When the spell ends, the creature knows it was charmed by you.']","At Higher Levels. When you cast this spell using a spell slot of 2nd level or higher, you can target one additional creature for each slot level above 1st. The creatures must be within 30 feet of each other when you target them."
enlarge-reduce,Player's Handbook,2,transmutation,1,action,30 feet,"V, S, M (a pinch of powdered iron)","Concentration, up to 1 minute","['You cause a creature or an object you can see within range to grow larger or smaller for the duration. Choose either a creature or an object that is neither worn nor carried. If the target is unwilling, it can make a Constitution saving throw. On a success, the spell has no effect.']","If the target is a creature, everything it is wearing and carrying changes size with it. Any item dropped by an affected creature returns to normal size at once."
spray-of-cards,Unearthed Arcana 85 - Wonders of the Multiverse,2,conjuration,1,action,15-foot cone,"V, S, M (a deck of cards)",Instantaneous,"['You spray spectral cards from your hands or sleeve; the cards blind or slash at your enemies, and then vanish. Choose one of the following effects for the cards:']","At Higher Levels. When you cast this spell using a spell slot of 4th level or higher, the damage of cutting cards increases by 1d10 for every two slot levels above 2nd"
passwall,Player's Handbook,5,transmutation,1,action,30 feet,"V, S, M (a pinch of sesame seeds)",1 hour,"['A passage appears at a point of your choice that you can see on a wooden, plaster, or stone surface (such as a wall, a ceiling, or a floor) within range, and lasts for the duration. You choose the opening’s dimensions: up to 5 feet wide, 8 feet tall, and 20 feet deep. The passage creates no instability in a structure surrounding it.']","When the opening disappears, any creatures or objects still in the passage created by the spell are safely ejected to an unoccupied space nearest to the surface on which you cast the spell."
mass-polymorph,Xanathar's Guide to Everything,9,transmutation,1,Action,120 feet,"V, S, M (a caterpillar cocoon)","Concentration, up to 1 hour",['You transform up to ten creatures of your choice that you can see within range. An unwilling target must succeed on a Wisdom saving throw to resist the transformation. An unwilling shapechanger automatically succeeds on the save.'],"Each target assumes a beast form of your choice, and you can choose the same form or different ones for each target. The new form can be any beast you have seen whose challenge rating is equal to or less than the target’s (or half the target’s level, if the target doesn’t have a challenge rating). The target’s game statistics, including mental ability scores, are replaced by the statistics of the chosen beast, but the target retains its hit points, alignment, and personality."
phantom-steed,Player's Handbook,3,illusion,1,minute,30 feet,"V, S",1 hour,"['A Large quasi-real, horselike creature appears on the ground in an unoccupied space of your choice within range. You decide the creature’s appearance, but it is equipped with a saddle, bit, and bridle. Any of the equipment created by the spell vanishes in a puff of smoke if it is carried more than 10 feet away from the steed.']","For the duration, you or a creature you choose can ride the steed. The creature uses the statistics for a riding horse, except it has a speed of 100 feet and can travel 10 miles in an hour, or 13 miles at a fast pace. When the spell ends, the steed gradually fades, giving the rider 1 minute to dismount. The spell ends if you use an action to dismiss it or if the steed takes any damage."
suggestion,Player's Handbook,2,enchantment,1,action,30 feet,"V, M (a snake’s tongue and either a bit of honeycomb or a drop of sweet oil)","Concentration, up to 8 hours","['You suggest a course of activity (limited to a sentence or two) and magically influence a creature you can see within range that can hear and understand you. Creatures that can’t be charmed are immune to this effect. The suggestion must be worded in such a manner as to make the course of action sound reasonable. Asking the creature to stab itself, throw itself onto a spear, immolate itself, or do some other obviously harmful act ends the spell.']","The target must make a Wisdom saving throw. On a failed save, it purses the course of action you described to the best of its ability. The suggested course of action can continue for the entire duration. If the suggested activity can be completed in a shorter time, the spell ends when the subject finishes what it was asked to do."
shatter,Player's Handbook,2,evocation,1,action,60 feet,"V, S, M (a chip of mica)",Instantaneous,"['A sudden loud ringing noise, painfully intense, erupts from a point of your choice within range. Each creature in a 10-foot-radius sphere centered on that point must make a Constitution saving throw. A creature takes 3d8 thunder damage on a failed save, or half as much damage on a successful one. A creature made of inorganic material such as stone, crystal, or metal has disadvantage on this saving throw.']",A nonmagical object that isn’t being worn or carried also takes the damage if it’s in the spell’s area.
shapechange,Player's Handbook,9,transmutation,1,action,Self,"V, S, M (a jade circlet worth at least 1,500 gp, which you must place on your head before you cast the spell)","Concentration, up to 1 hour","[""You assume the form of a different creature for the duration. The new form can be any creature with a challenge rating equal to your level or lower. The creature can't be a construct or an undead, and you must have seen the sort of creature at least once. You transform into an average example of that creature, one without any class levels or the Spellcasting trait.""]","Your game statistics are replaced by the statistics of the chosen creature, though you retain your alignment and Intelligence, Wisdom, and Charisma scores. You also retain all of your skill and saving throw proficiencies, in addition to gaining those of the creature, If the creature has the same proficiency as you, and the bonus listed in its statistics is higher than yours, use the creature's bonus in place of yours. You can't use any legendary actions or lair actions of the new form."
warding-wind,Xanathar's Guide to Everything,2,evocation,1,action,Self,V,"Concentration, up to 10 minutes","['A strong wind (20 miles per hour) blows around you in a 10-foot radius and moves with you, remaining centered on you. The wind lasts for the spell’s duration.']",The wind has the following effects:
widogast-s-vault-of-amber-hb,Critical Role (Twitter),4,transmutation,1,minute,Touch,"V, S, M (5 small amber gems worth 200 gp)",Until dispelled,"['You arrange 5 small amber gems in a loose circle around any non-living materials and trace Transmutative sigils above each of them. All materials within the circle are pulled into the largest of the gems and are stored there, in stasis. The contents do not age, weather, or rot. The gem can hold up to 500lbs of material.']","The caster can use an Action to speak a single, chosen word and release the gem's contents onto the ground. Contents are also released if dispelled."
shillelagh,Player's Handbook,0,cantrip,1,action,Touch,"V, S, M (mistletoe, a shamrock leaf, and a club or quarterstaff)",1 minute,"['The wood of a club or quarterstaff you are holding is imbued with nature’s power. For the duration, you can use your spellcasting ability instead of Strength for the attack and damage rolls of melee attacks using that weapon, and the weapon’s damage die becomes a d8. The weapon also becomes magical, if it isn’t already. The spell ends if you cast it again or if you let go of the weapon.']",Druid
zone-of-truth,Player's Handbook,2,enchantment,1,action,60 feet,"V, S",10 minutes,"['You create a magical zone that guards against deception in a 15-foot-radius sphere centered on a point of your choice within range. Until the spell ends, a creature that enters the spell’s area for the first time on a turn or starts its turn there must make a Charisma saving throw. On a failed save, a creature can’t speak a deliberate lie while in the radius. You know whether each creature succeeds or fails on its saving throw.']",An affected creature is aware of the spell and can thus avoid answering questions to which it would normally respond with a lie. Such creatures can be evasive in its answers as long as it remains within the boundaries of the truth.
phantasmal-killer,Player's Handbook,4,illusion,1,action,120 feet,"V, S","Concentration, up to 1 minute","['You tap into the nightmares of a creature you can see within range and create an illusory manifestation of its deepest fears, visible only to that creature.']","The target must make a Wisdom saving throw. On a failed save, the target becomes frightened for the duration. At the end of each of the target’s turns before the spell ends, the target must succeed on a Wisdom saving throw or take 4d10 psychic damage. On a successful save, the spell ends."
conjure-barrage,Player's Handbook,3,conjuration,1,action,Self (60-foot cone),"V, S, M (one piece of ammunition or a thrown weapon)",Instantaneous,"['You throw a nonmagical weapon or fire a piece of nonmagical ammunition into the air to create a cone of identical weapons that shoot forward and then disappear. Each creature in a 60-foot cone must succeed on a Dexterity saving throw. A creature takes 3d8 damage on a failed save, or half as much damage on a successful one. The damage type is the same as that of the weapon or ammunition used as a component.']",Ranger
disintegrate,Player's Handbook,6,transmutation,1,action,60 feet,"V, S, M (a lodestone and a pinch of dust)",Instantaneous,"['A thin green ray springs from your pointing finger to a target that you can see within range. The target can be a creature, an object, or a creation of magical force, such as the wall created by wall of force.']","A creature targeted by this spell must make a Dexterity saving throw. On a failed save, the target takes 10d6 + 40 force damage. The target is disintegrated if this damage leaves it with 0 hit points."
conjure-minor-elementals,Player's Handbook,4,conjuration,1,minute,90 feet,"V, S","Concentration, up to 1 hour",['You summon elementals that appear in unoccupied spaces that you can see within range. You choose one the following options for what appears:'],An elemental summoned by this spell disappears when it drops to 0 hit points or when the spell ends.
thorn-whip,Player's Handbook,0,cantrip,1,action,30 feet,"V, S, M (the stem of a plant with thorns)",Instantaneous,"['You create a long, vine-like whip covered in thorns that lashes out at your command toward a creature in range. Make a melee spell attack against the target. If the attack hits, the creature takes 1d6 piercing damage, and if the creature is Large or smaller, you pull the creature up to 10 feet closer to you.']","At Higher Levels. This spell’s damage increases by 1d6 when you reach 5th level (2d6), 11th level (3d6), and 17th level (4d6)."
guardian-of-nature,Xanathar's Guide to Everything,4,transmutation,1,action,Self,V,"Concentration, up to 1 minute",['A nature spirit answers your call and transforms you into a powerful guardian. The transformation lasts until the spell ends. You choose one of the following forms to assume: Primal Beast or Great Tree.'],"Primal Beast. Bestial fur covers your body, your facial features become feral, and you gain the following benefits:"
create-homunculus,Xanathar's Guide to Everything,6,transmutation,1,hour,Touch,"V, S, M (clay, ash, and mandrake root, all of which the spell consumes, and a jewel-encrusted dagger worth at least 1,000 gp)",Instantaneous,"['While speaking an intricate incantation, you cut yourself with a jewel-encrusted dagger, taking 2d4 piercing damage that can’t be reduced in any way. You then drip your blood on the spell’s other components and touch them, transforming them into a special construct called a homunculus. The statistics of the homunculus are in the Monster Manual. It is your faithful companion, and it dies if you die. Whenever you finish a long rest, you can spend up to half your Hit Dice if the homunculus is on the same plane of existence as you. When you do so, roll each die and add your Constitution modifier to it. Your hit point maximum is reduced by the total, and the homunculus’s hit point maximum and current hit points are both increased by it. This process can reduce you to no lower than 1 hit point. and the change to your and the homunculus’s hit points ends when you finish your next long rest. The reduction to your hit point maximum can’t be removed by any means before then, except by the homunculus‘s death. You can have only one homunculus at a time. If you cast this spell while your homunculus lives, the spell fails.']",Wizard
create-magen,Icewind Dale - Rime of the Frostmaiden,7,transmutation,1,hour,Touch,"V, S, M (a vial of quicksilver worth 500 gp and a life-sized human doll, both of which the spell consumes, and an intricate crystal rod worth at least 1,500 gp that is not consumed)",Instantaneous,"['While casting the spell, you place a vial of quicksilver in the chest of a life-sized human doll stuffed with ash or dust. You then stitch up the doll and drip your blood on it. At the end of the casting, you tap the doll with a crystal rod, transforming it into a magen clothed in whatever the doll was wearing. The type of magen is chosen by you during the casting of the spell.']","When the magen appears, your hit point maximum decreases by an amount equal to the magen's challenge rating (minimum reduction of 1). Only a Wish spell can undo this reduction to your hit point maximum."
wall-of-light,Xanathar's Guide to Everything,5,evocation,1,action,120 feet,"V, S, M (a hand mirror)","Concentration, up to 10 minutes","['A shimmering wall of bright light appears at a point you choose within range. The wall appears in any orientation you choose: horizontally, vertically, or diagonally. It can be free floating, or it can rest on a solid surface. The wall can be up to 60 feet long, 10 feet high, and 5 feet thick. The wall blocks line of sight, but creatures and objects can pass through it. It emits bright light out to 120 feet and dim light for an additional 120 feet.']","When the wall appears, each creature in its area must make a Constitution saving throw. On a failed save, a creature takes 4d8 radiant damage, and it is blinded for 1 minute. On a successful save, it takes half as much damage and isn’t blinded. A blinded creature can make a Constitution saving throw at the end of each of its turns, ending the effect on itself on a success."
darkvision,Player's Handbook,2,transmutation,1,action,Touch,"V, S, M (either a pinch of dried carrot or an agate)",8 hours,"['You touch a willing creature to grant it the ability to see in the dark. For the duration, that creature has darkvision out to a range of 60 feet.']","Artificer, Druid, Ranger, Sorcerer, Wizard"
antimagic-field,Player's Handbook,8,abjuration,1,action,Self (10-foot-radius sphere),"V, S, M (a pinch of powdered iron or iron filings)","Concentration, up to 1 hour","[""A 10-foot-radius invisible sphere of antimagic surrounds you. This area is divorced from the magical energy that suffuses the multiverse. Within the sphere, spells can't be cast, summoned creatures disappear, and even magic items become mundane. Until the spell ends, the sphere moves with you, centered on you.""]","Spells and other magical effects, except those created by an artifact or a deity, are suppressed in the sphere and can't protrude into it. A slot expended to cast a suppressed spell is consumed. While an effect is suppressed, it doesn't function, but the time it spends suppressed counts against its duration."
investiture-of-ice,Xanathar's Guide to Everything,6,transmutation,1,action,Self,"V, S","Concentration, up to 10 minutes","['Until the spell ends, ice rimes your body, and you gain the following benefits:']","Druid, Sorcerer, Warlock, Wizard"
spike-growth,Player's Handbook,2,transmutation,1,action,150 feet,"V, S, M (seven sharp thorns or seven small twigs, each sharpened to a point)","Concentration, up to 10 minutes","['The ground in a 20-foot radius centered on a point within range twists and sprouts hard spikes and thorns. The area becomes difficult terrain for the duration. When a creature moves into or within the area, it takes 2d4 piercing damage for every 5 feet it travels.']",The transformation of the ground is camouflaged to look natural. Any creature that can’t see the area at the time the spell is cast must make a Wisdom (Perception) check against your spell save DC to recognize the terrain as hazardous before entering it.
thought-shield,"Unearthed Arcana 66 - Fighter, Rogue, and Wizard",2,abjuration,1,action,Touch,"V, S",8 hours,"['You weave a clouding veil over the mind of one creature you touch. For the duration, the target’s mind can’t be read or detected, creatures can’t telepathically communicate with the target unless the target allows it, and the target has advantage on saving throws against any effect that would determine whether it is telling the truth.']","Sorcerer, Warlock, Wizard"
divine-word,Player's Handbook,7,evocation,1,action,30 feet,V,Instantaneous,"['You utter a divine word, imbued with the power that shaped the world at the dawn of creation. Choose any number of creatures you can see within range. Each creature that can hear you must make a Charisma saving throw. On a failed save, a creature suffers an effect based on its current hit points:']","Regardless of its current hit points, a celestial, an elemental, a fey, or a fiend that fails its save is forced back to its plane of origin (if it isn’t there already) and can’t return to your current plane for 24 hours by any means short of a wish spell."
freedom-of-movement,Player's Handbook,4,abjuration,1,action,Touch,"V, S, M (a leather strap, bound around the arm or a similar appendage)",1 hour,"['You touch a willing creature. For the duration, the target’s movement is unaffected by difficult terrain, and spells and other magical effects can neither reduce the target’s speed nor cause the target to be paralyzed or restrained.']","The target can also spend 5 feet of movement to automatically escape from nonmagical restraints, such as manacles or a creature that has it grappled. Finally, being underwater imposes no penalties on the target’s movement or attacks."
steel-wind-strike,Xanathar's Guide to Everything,5,conjuration,1,action,30 feet,"S, M (a melee weapon worth at least 1 sp)",Instantaneous,"['You flourish the weapon used in the casting and then vanish to strike like the wind. Choose up to five creatures you can see within range. Make a melee spell attack against each target. On a hit, a target takes 6d10 force damage.']",You can then teleport to an unoccupied space you can see within 5 feet of one of the targets you hit or missed.
legend-lore,Player's Handbook,5,divination,10,minutes,Self,"V, S, M (incense worth at least 250 gp, which the spell consumes, and four ivory strips worth at least 50 gp each)",Instantaneous,"['Name or describe a person, place, or object. The spell brings to your mind a brief summary of the significant lore about the thing you named. The lore might consist of current tales, forgotten stories, or even secret lore that has never been widely known. If the thing you named isn’t of legendary importance, you gain no information. The more information you already have about the thing, the more precise and detailed the information you receive is.']","The information you learn is accurate but might be couched in figurative language. For example, if you have a mysterious magic axe on hand, the spell might yield this information: Woe to the evildoer whose hand touches the axe, for even the haft slices the hand of the evil ones. Only a true Child of Stone, lover and beloved of Moradin, may awaken the true powers of the axe, and only with the sacred word Rudnogg on the lips."
remote-access,Unearthed Arcana 7 - Modern Magic,1,transmutation,1,action,120 feet,"V, S",10 minutes,"[""You can use any electronic device within range as if it were in your hands. This is not a telekinesis effect. Rather, this spell allows you to simulate a device's mechanical functions electronically. You are able to access only functions that a person using the device manually would be able to access. You can use remote access with only one device at a time.""]","Sorcerer, Warlock, Wizard"
fire-storm,Player's Handbook,7,evocation,1,action,150 feet,"V, S",Instantaneous,"['A storm made up of sheets of roaring flame appears in a location you choose within range. The area of the storm consists of up to ten 10-foot cubes, which you can arrange as you wish. Each cube must have at least one face adjacent to the face of another cube. Each creature in the area must make Dexterity saving throw. It takes 7d10 fire damage on a failed save, or half as much damage on a successful one.']","The fire damages objects in the area and ignites flammable objects that aren’t being worn or carried. If you choose, plant life in the area is unaffected by this spell."
harm,Player's Handbook,6,necromancy,1,action,60 feet,"V, S",Instantanous,"['You unleash a virulent disease on a creature that you can see within range. The target must make a Constitution saving throw. On a failed save, it takes 14d6 necrotic damage, or half as much damage on a successful save. The damage can’t reduce the target’s hit points below 1. If the target fails the saving throw, its hit point maximum is reduced for 1 hour by an amount equal to the necrotic damage it took. Any effect that removes a disease allows a creature’s hit point maximum to return to normal before that time passes.']",Cleric
magic-circle,Player's Handbook,3,abjuration,1,minute,10 feet,"V, S, M (holy water or powdered silver and iron worth at least 100 gp, which the spell consumes)",1 hour,"['You create a 10-foot-radius, 20-foot-tall cylinder of magical energy centered on a point on the ground that you can see within range. Glowing runes appear wherever the cylinder intersects with the floor or other surface.']","Choose one or more of the following types of creatures: celestials, elementals, fey, fiends, or undead. The circle affects a creature of the chosen type in the following ways:"
bless,Player's Handbook,1,enchantment,1,action,30 feet,"V, S, M (a sprinkling of holy water)","Concentration, up to 1 minute","['You bless up to three creatures of your choice within range. Whenever a target makes an attack roll or a saving throw before the spell ends, the target can roll a d4 and add the number rolled to the attack roll or saving throw.']","At Higher Levels. When you cast this spell using a spell slot of 2nd level or higher, you can target one additional creature for each slot level above 1st."
true-resurrection,Player's Handbook,9,necromancy,1,hour,Touch,"V, S, M (a sprinkle of holy water and diamonds worth at least 25,000 gp, which the spell consumes)",Instantaneous,"['You touch a creature that has been dead for no longer than 200 years and that died for any reason except old age. If the creature’s soul is free and willing, the creature is restored to life with all its hit points.']","This spell closes all wounds, neutralizes any poison, cures all diseases, and lifts any curses affecting the creature when it died. The spell replaces damaged or missing organs or limbs. If the creature was undead, it is restored to its non-undead form."
blight,Player's Handbook,4,necromancy,1,action,30 feet,"V, S",Instantaneous,"['Necromantic energy washes over a creature of your choice that you can see within range, draining moisture and vitality from it. The target must make a Constitution saving throw. The target takes 8d8 necrotic damage on a failed save, or half as much damage on a successful one. This spell has no effect on undead or constructs.']","If you target a plant creature or a magical plant, it makes the saving throw with disadvantage, and the spell deals maximum damage to it. If you target a nonmagical plant that isn’t a creature, such as a tree or shrub, it doesn’t make a saving throw; it simply withers and dies."
mordenkainens-faithful-hound,Player's Handbook,4,conjuration,1,action,30 feet,"V, S, M (a tiny silver whistle, a piece of bone, and a thread)",8 hours,"['You conjure a phantom watchdog in an unoccupied space that you can see within range, where it remains for the duration, until you dismiss it as an action, or until you move more than 100 feet away from it.']","The hound is invisible to all creatures except you and can’t be harmed. When a Small or larger creature comes within 30 feet of it without first speaking the password that you specify when you cast this spell, the hound starts barking loudly. The hound sees invisible creatures and can see into the Ethereal Plane. It ignores illusions."
absorb-elements,Xanathar's Guide to Everything,1,abjuration,1,damage,Self,S,1 round,"['The spell captures some of the incoming energy, lessening its effect on you and storing it for your next melee attack. You have resistance to the triggering damage type until the start of your next turn. Also, the first time you hit with a melee attack on your next turn, the target takes an extra 1d6 damage of the triggering type, and the spell ends.']","At Higher Levels. When you cast this spell using a spell slot of 2nd level or higher, the extra damage increases by 1d6 for each slot level above 1st."
otherworldly-form,Unearthed Arcana 70 - Spells and Magic Tattoos,6,transmutation,1,action,Self,"V, S, M (an object engraved with a symbol of the Outer Planes, worth at least 500 gp)","Concentration, up to 1 minute","['Uttering an incantation, you draw on the magic of the Lower Planes or Upper Planes (your choice) to transform yourself. You gain the following benefits until the spell ends:']","Cleric, Sorcerer, Warlock, Wizard"
commune-with-city,Unearthed Arcana 7 - Modern Magic,5,divination,1,minute,Self,"V, S",Instantaneous,"['You briefly become one with the city and gain knowledge of the surrounding area. Aboveground, this spell gives you knowledge of the area within 1 mile of you. In sewers and other underground settings, you gain knowledge of the area within 600 feet of you.']",You instantly gain knowledge of up to three facts of your choice about any of the following subjects as they relate to the area:
heroes-feast,Player's Handbook,6,conjuration,10,minutes,30 feet,"V, S, M (a gem-encrusted bowl worth at least 1,000 gp, which the spell consumes)",Instantaneous,"['You bring forth a great feast, including magnificent food and drink. The feast takes 1 hour to consume and disappears at the end of that time, and the beneficial effects don’t set in until this hour is over. Up to twelve creatures can partake of the feast.']","A creature that partakes of the feast gains several benefits. The creature is cured of all diseases and poison, becomes immune to poison and being frightened, and makes all Wisdom saving throws with advantage. Its hit point maximum also increases by 2d10, and it gains the same number of hit points. These benefits last for 24 hours."
dragons-breath,Xanathar's Guide to Everything,2,transmutation,1,action,Touch,"V, S, M (a hot pepper)","Concentration, up to 1 minute","['You touch one willing creature and imbue it with the power to spew magical energy from its mouth, provided it has one. Choose acid, cold, fire, lightning, or poison. Until the spell ends, the creature can use an action to exhale energy of the chosen type in a 15-foot cone. Each creature in that area must make a Dexterity saving throw, taking 3d6 damage of the chosen type on a failed save, or half as much damage on a successful one.']","At Higher Levels. When you cast this spell using a spell slot of 3rd level or higher, the damage increases by 1d6 for each slot level above 2nd."
dancing-lights,Player's Handbook,0,cantrip,1,action,120 feet,"V, S, M (a bit of phosphorus or wychwood, or a glowworm)","Concentration, up to 1 minute","['You create up to four torch-sized lights within range, making them appear as torches, lanterns, or glowing orbs that hover in the air for the duration. You can also combine the four lights into one glowing vaguely humanoid form of Medium size. Whichever form you choose, each light sheds dim light in a 10-foot radius.']","As a bonus action on your turn, you can move the lights up to 60 feet to a new spot within range. A light must be within 20 feet of another light created by this spell, and a light winks out if it exceeds the spell’s range."
control-weather,Player's Handbook,8,transmutation,10,minutes,Self (5-mile radius),"V, S, M (burning incense and bits of earth and wood mixed in water)","Concentration, Up to 8 hours",['You take control of the weather within 5 miles of you for the duration. You must be outdoors to cast this spell. Moving to a place where you don’t have a clear path to the sky ends the spell early.'],"When you cast the spell, you change the current weather conditions, which are determined by the DM based on the climate and season. You can change precipitation, temperature, and wind. It takes 1d4 x 10 minutes for the new conditions to take effect. Once they do so, you can change the conditions again. When the spell ends, the weather gradually returns to normal."
divine-favor,Player's Handbook,1,evocation,1,action,Self,"V, S","Concentration, up to 1 minute","['Your prayer empowers you with divine radiance. Until the spell ends, your weapon attacks deal an extra 1d4 radiant damage on a hit.']",Paladin
mordenkainens-sword,Player's Handbook,7,evocation,1,action,60 feet,"V, S, M (a miniature platinum sword with a grip and pommel of copper and zinc, worth 250 gp)","Concentration, up to 1 minute",['You create a sword-shaped plane of force that hovers within range. It lasts for the duration.'],"When the sword appears, you make a melee spell attack against a target of your choice within 5 feet of the sword. On a hit. the target takes 3d10 force damage. Until the spell ends, you can use a bonus action on each of your turns to move the sword up to 20 feet to a spot you can see and repeat this attack against the same target or a different one."
wither-and-bloom,Strixhaven: A Curriculum of Chaos,2,Necromancy,1,action,60 feet,"V, S, M (a withered vine twisted into a loop)",Instantaneous,"['You invoke both death and life upon a 10-foot-radius sphere centered on a point within range. Each creature of your choice in that area must make a Constitution saving throw, taking 2d6 necrotic damage on a failed save, or half as much damage on a successful one. Nonmagical vegetation in that area withers.']","In addition, one creature of your choice in that area can spend and roll one of its unspent Hit Dice and regain a number of hit points equal to the roll plus your spellcasting ability modifier."
magic-missile,Player's Handbook,1,evocation,1,action,120 feet,"V, S",Instantaneous,['You create three glowing darts of magical force. Each dart hits a creature of your choice that you can see within range. A dart deals 1d4 + 1 force damage to its target. The darts all strike simultaneously and you can direct them to hit one creature or several.'],"At Higher Levels. When you cast this spell using a spell slot of 2nd level or higher, the spell creates one more dart for each slot level above 1st."
detect-evil-and-good,Player's Handbook,1,divination,1,action,Self,"V, S","Concentration, up to 10 minutes","['For the duration, you know if there is an aberration, celestial, elemental, fey, fiend, or undead within 30 feet of you, as well as where the creature is located. Similarly, you know if there is a place or object within 30 feet of you that has been magically consecrated or desecrated.']","The spell can penetrate most barriers, but it is blocked by 1 foot of stone, 1 inch of common metal, a thin sheet of lead, or 3 feet of wood or dirt."
abi-dalzims-horrid-wilting,Xanathar's Guide to Everything,8,necromancy,1,action,150 feet,"V, S, M (a bit of sponge)",Instantaneous,"['You draw the moisture from every creature in a 30-foot cube centered on a point you choose within range. Each creature in that area must make a Constitution saving throw. Constructs and undead aren’t affected, and plants and water elementals make this saving throw with disadvantage. A creature takes 10d8 necrotic damage on a failed save, or half as much damage on a successful one.']","Sorcerer, Wizard"
control-water,Player's Handbook,4,transmutation,1,action,300 feet,"V, S, M (a drop of water and a pinch of dust)","Concentration, up to 10 minutes","['Until the spell ends, you control any freestanding water inside an area you choose that is a cube up to 100 feet on a side. You can choose from any of the following effects when you cast this spell. As an action on your turn, you can repeat the same effect or choose a different one.']","Flood. You cause the water level of all standing water in the area to rise by as much as 20 feet. If the area includes a shore, the flooding water spills over onto dry land. If you choose an area in a large body of water, you instead create a 20-foot tall wave that travels from one side of the area to the other and then crashes down. Any Huge or smaller vehicles in the wave’s path are carried with it to the other side. Any Huge or smaller vehicles struck by the wave have a 25 percent chance of capsizing. The water level remains elevated until the spell ends or you choose a different effect. If this effect produced a wave, the wave repeats on the start of your next turn while the flood effect lasts."
magic-weapon,Player's Handbook,2,transmutation,1,action,Touch,"V, S","Concentration, up to 1 hour","['You touch a nonmagical weapon. Until the spell ends, that weapon becomes a magic weapon with a +1 bonus to attack rolls and damage rolls.']","At Higher Levels. When you cast this spell using a spell slot of 4th level or higher, the bonus increases to +2. When you use a spell slot of 6th level or higher, the bonus increases to +3."
reincarnate,Player's Handbook,5,transmutation,1,hour,Touch,"V, S, M (rare oils and unguents worth at least 1,000 gp, which the spell consumes)",Instantaneous,"['You touch a dead humanoid or a piece of a dead humanoid. Provided that the creature has been dead no longer than 10 days, the spell forms a new adult body for it and then calls the soul to enter that body. If the target’s soul isn’t free or willing to do so, the spell fails.']","The magic fashions a new body for the creature to inhabit, which likely causes the creature’s race to change. The DM rolls a d100 and consults the following table to determine what form the creature takes when restored to life, or the DM chooses a form."
conjure-barlgura,Unearthed Arcana 11 - That Old Black Magic,4,conjuration,1,action,60 feet,"V, S",Up to 10 minutes,['You summon a barlgura that appears in an unoccupied space you can see within range. The barlgura disappears when it drops to 0 hit points or when the spell ends.'],"The barlgura is hostile to all non-demons. Roll initiative for the barlgura, which has its own turns. At the start of its turn, it moves toward and attacks the nearest non-demon it can perceive. If two or more creatures are equally near, it picks one at random. If it cannot see any potential enemies, the barlgura moves in a random direction in search of foes."
fire-bolt,Player's Handbook,0,cantrip,1,action,120 feet,"V, S",Instantaneous,"['You hurl a mote of fire at a creature or object within range. Make a ranged spell attack against the target. On a hit, the target takes 1d10 fire damage. A flammable object hit by this spell ignites if it isn’t being worn or carried.']","At Higher Levels. This spell’s damage increases by 1d10 when you reach 5th level (2d10), 11th level (3d10), and 17th level (4d10)."
thunderclap,Xanathar's Guide to Everything,0,cantrip,1,action,Self (5-foot radius),S,Instantaneous,"['You create a burst of thunderous sound, which can be heard 100 feet away. Each creature other than you within 5 feet of you must make a Constitution saving throw. On a failed save, the creature takes 1d6 thunder damage.']","At Higher Levels. The spell’s damage increases by 1d6 when you reach 5th level (2d6), 11th level (3d6), and 17th level (4d6)."
blindness-deafness,Player's Handbook,2,necromancy,1,action,30 feet,V,1 minute,"['You can blind or deafen a foe. Choose one creature that you can see within range to make a Constitution saving throw. If it fails, the target is either blinded or deafened (your choice) for the duration. At the end of each of its turns, the target can make a Constitution saving throw. On a success, the spell ends.']","At Higher Levels. When you cast this spell using a spell slot of 3rd level or higher, you can target one additional creature for each slot level above 2nd."
mass-cure-wounds,Player's Handbook,5,evocation,1,action,60 feet,"V, S",Instantaneous,['A wave of healing energy washes out from a point of your choice within range. Choose up to six creatures in a 30-foot-radius sphere centered on that point. Each target regains hit points equal to 3d8 + your spellcasting ability modifier. This spell has no effect on undead or constructs.'],"At Higher Levels. When you cast this spell using a spell slot of 6th level or higher, the healing increases by 1d8 for each slot level above 5th."
